taskname,start,end,duration,acclname
conv2d_1,0,19676.0,19676.0,Conv2DNS1024
batch_normalization_1,561229.0,650033.0,88804.0,BatchNormalizationNS8
conv2d_2,1190317.0,1392090.0,201773.0,Conv2DNS1024
batch_normalization_2,1920227.0,2006663.0,86436.0,BatchNormalizationNS8
conv2d_3,2534550.0,2937148.0,402598.0,Conv2DNS1024
batch_normalization_3,3990455.0,4163327.0,172872.0,BatchNormalizationNS8
conv2d_4,4423505.0,4453891.0,30386.0,Conv2DNS1024
batch_normalization_4,4778072.0,4831362.0,53290.0,BatchNormalizationNS8
conv2d_5,5156805.0,5937016.0,780211.0,Conv2DNS1024
batch_normalization_5,6674525.0,6795509.0,120984.0,BatchNormalizationNS8
conv2d_9,6975273.0,6998606.0,23333.0,Conv2DNS1024
conv2d_7,7233957.0,7252320.0,18363.0,Conv2DNS1024
conv2d_6,7334252.0,7357738.0,23486.0,Conv2DNS1024
conv2d_12,7735423.0,7747377.0,11954.0,Conv2DNS1024
batch_normalization_9,7058311.0,7068111.0,9800.0,BatchNormalizationNS8
batch_normalization_7,7297007.0,7304357.0,7350.0,BatchNormalizationNS8
batch_normalization_6,7416995.0,7426795.0,9800.0,BatchNormalizationNS8
batch_normalization_12,7777170.0,7782070.0,4900.0,BatchNormalizationNS8
conv2d_10,7127177.0,7233957.0,106780.0,Conv2DNS1024
conv2d_8,7587852.0,7735423.0,147571.0,Conv2DNS1024
batch_normalization_10,7323657.0,7338357.0,14700.0,BatchNormalizationNS8
batch_normalization_8,7794798.0,7804598.0,9800.0,BatchNormalizationNS8
conv2d_11,7428200.0,7587852.0,159652.0,Conv2DNS1024
batch_normalization_11,7677253.0,7691953.0,14700.0,BatchNormalizationNS8
conv2d_16,7864564.0,7896800.0,32236.0,Conv2DNS1024
conv2d_14,7904950.0,7929016.0,24066.0,Conv2DNS1024
conv2d_13,8144074.0,8175166.0,31092.0,Conv2DNS1024
conv2d_19,8482698.0,8514054.0,31356.0,Conv2DNS1024
batch_normalization_16,7955727.0,7965527.0,9800.0,BatchNormalizationNS8
batch_normalization_14,7973777.0,7981127.0,7350.0,BatchNormalizationNS8
batch_normalization_13,8234741.0,8244541.0,9800.0,BatchNormalizationNS8
batch_normalization_19,8587013.0,8596813.0,9800.0,BatchNormalizationNS8
conv2d_17,8025152.0,8131296.0,106144.0,Conv2DNS1024
conv2d_15,8175166.0,8322289.0,147123.0,Conv2DNS1024
batch_normalization_17,8219915.0,8234615.0,14700.0,BatchNormalizationNS8
batch_normalization_15,8380816.0,8390616.0,9800.0,BatchNormalizationNS8
conv2d_18,8323997.0,8482698.0,158701.0,Conv2DNS1024
batch_normalization_18,8572313.0,8587013.0,14700.0,BatchNormalizationNS8
conv2d_23,8675805.0,8711647.0,35842.0,Conv2DNS1024
conv2d_21,8781630.0,8808852.0,27222.0,Conv2DNS1024
conv2d_20,9050208.0,9085852.0,35644.0,Conv2DNS1024
conv2d_26,9445609.0,9480925.0,35316.0,Conv2DNS1024
batch_normalization_23,8771142.0,8780942.0,9800.0,BatchNormalizationNS8
batch_normalization_21,8853462.0,8860812.0,7350.0,BatchNormalizationNS8
batch_normalization_20,9144663.0,9154463.0,9800.0,BatchNormalizationNS8
batch_normalization_26,9539782.0,9549582.0,9800.0,BatchNormalizationNS8
conv2d_24,8840253.0,8945726.0,105473.0,Conv2DNS1024
conv2d_22,9298982.0,9445609.0,146627.0,Conv2DNS1024
batch_normalization_24,9035121.0,9049821.0,14700.0,BatchNormalizationNS8
batch_normalization_22,9505128.0,9514928.0,9800.0,BatchNormalizationNS8
conv2d_25,9139332.0,9298982.0,159650.0,Conv2DNS1024
batch_normalization_25,9388630.0,9403330.0,14700.0,BatchNormalizationNS8
conv2d_28,9608723.0,9643603.0,34880.0,Conv2DNS1024
conv2d_27,9879655.0,10880810.0,1001155.0,Conv2DNS1024
batch_normalization_28,9703186.0,9712986.0,9800.0,BatchNormalizationNS8
batch_normalization_27,10965024.0,10978896.0,13872.0,BatchNormalizationNS8
conv2d_29,9773499.0,9879655.0,106156.0,Conv2DNS1024
batch_normalization_29,9969444.0,9984144.0,14700.0,BatchNormalizationNS8
conv2d_30,10880810.0,10963942.0,83132.0,Conv2DNS1024
batch_normalization_30,10983943.0,10987411.0,3468.0,BatchNormalizationNS8
conv2d_35,11146308.0,11245252.0,98944.0,Conv2DNS1024
conv2d_32,11422782.0,11521926.0,99144.0,Conv2DNS1024
conv2d_31,11927705.0,12076403.0,148698.0,Conv2DNS1024
conv2d_40,12423047.0,12572197.0,149150.0,Conv2DNS1024
batch_normalization_35,11273793.0,11278417.0,4624.0,BatchNormalizationNS8
batch_normalization_32,11550478.0,11555102.0,4624.0,BatchNormalizationNS8
batch_normalization_31,12117912.0,12124848.0,6936.0,BatchNormalizationNS8
batch_normalization_40,12614150.0,12621086.0,6936.0,BatchNormalizationNS8
conv2d_36,11306756.0,11422782.0,116026.0,Conv2DNS1024
conv2d_33,11812223.0,11927705.0,115482.0,Conv2DNS1024
batch_normalization_36,11450827.0,11455451.0,4624.0,BatchNormalizationNS8
batch_normalization_33,11955805.0,11960429.0,4624.0,BatchNormalizationNS8
conv2d_37,11521926.0,11636748.0,114822.0,Conv2DNS1024
conv2d_34,12250568.0,12423047.0,172479.0,Conv2DNS1024
batch_normalization_37,11665181.0,11669805.0,4624.0,BatchNormalizationNS8
batch_normalization_34,12465398.0,12472334.0,6936.0,BatchNormalizationNS8
conv2d_38,11697947.0,11812223.0,114276.0,Conv2DNS1024
batch_normalization_38,11839540.0,11844164.0,4624.0,BatchNormalizationNS8
conv2d_39,12076403.0,12250568.0,174165.0,Conv2DNS1024
batch_normalization_39,12293105.0,12300041.0,6936.0,BatchNormalizationNS8
conv2d_45,12663211.0,12787682.0,124471.0,Conv2DNS1024
conv2d_42,13297601.0,13421359.0,123758.0,Conv2DNS1024
conv2d_41,13780402.0,13929810.0,149408.0,Conv2DNS1024
conv2d_50,14360881.0,14508977.0,148096.0,Conv2DNS1024
batch_normalization_45,12822528.0,12828308.0,5780.0,BatchNormalizationNS8
batch_normalization_42,13457018.0,13462798.0,5780.0,BatchNormalizationNS8
batch_normalization_41,13971795.0,13978731.0,6936.0,BatchNormalizationNS8
batch_normalization_50,14550660.0,14557596.0,6936.0,BatchNormalizationNS8
conv2d_46,12863423.0,13042429.0,179006.0,Conv2DNS1024
conv2d_43,13601210.0,13780402.0,179192.0,Conv2DNS1024
batch_normalization_46,13077672.0,13083452.0,5780.0,BatchNormalizationNS8
batch_normalization_43,13815441.0,13821221.0,5780.0,BatchNormalizationNS8
conv2d_47,13118619.0,13297601.0,178982.0,Conv2DNS1024
conv2d_44,14145539.0,14360881.0,215342.0,Conv2DNS1024
batch_normalization_47,13332600.0,13338380.0,5780.0,BatchNormalizationNS8
batch_normalization_44,14403166.0,14410102.0,6936.0,BatchNormalizationNS8
conv2d_48,13421359.0,13601210.0,179851.0,Conv2DNS1024
batch_normalization_48,13635998.0,13641778.0,5780.0,BatchNormalizationNS8
