taskname,start,end,duration,acclname
conv2d_1,0,724418.0,724418.0,Conv2D1024
batch_normalization_1,724418.0,1666020.0,941602.0,BatchNormalization8
conv2d_2,1666020.0,2654582.0,988562.0,Conv2D1024
batch_normalization_2,2654582.0,3600700.0,946118.0,BatchNormalization8
conv2d_3,3600700.0,5053948.0,1453248.0,Conv2D1024
batch_normalization_3,5053948.0,6735452.0,1681504.0,BatchNormalization8
conv2d_4,6735452.0,7253444.0,517992.0,Conv2D1024
batch_normalization_4,7253444.0,7816965.0,563521.0,BatchNormalization8
conv2d_5,7816965.0,8885690.0,1068725.0,Conv2D1024
batch_normalization_5,8885690.0,10154856.0,1269166.0,BatchNormalization8
conv2d_9,10154856.0,10385369.0,230513.0,Conv2D1024
conv2d_7,10692413.0,10911723.0,219310.0,Conv2D1024
conv2d_6,11146949.0,11382111.0,235162.0,Conv2D1024
conv2d_12,11550320.0,11757301.0,206981.0,Conv2D1024
batch_normalization_9,10385369.0,10503438.0,118069.0,BatchNormalization8
batch_normalization_7,10911723.0,10998308.0,86585.0,BatchNormalization8
batch_normalization_6,11382111.0,11501031.0,118920.0,BatchNormalization8
batch_normalization_12,11757301.0,11823965.0,66664.0,BatchNormalization8
conv2d_10,10503438.0,10692413.0,188975.0,Conv2D1024
conv2d_8,11382111.0,11550320.0,168209.0,Conv2D1024
batch_normalization_10,10692413.0,10853721.0,161308.0,BatchNormalization8
batch_normalization_8,11550320.0,11668751.0,118431.0,BatchNormalization8
conv2d_11,10911723.0,11146949.0,235226.0,Conv2D1024
batch_normalization_11,11146949.0,11312443.0,165494.0,BatchNormalization8
conv2d_16,11823965.0,12120220.0,296255.0,Conv2D1024
conv2d_14,12427777.0,12707989.0,280212.0,Conv2D1024
conv2d_13,13237665.0,13532874.0,295209.0,Conv2D1024
conv2d_19,12944030.0,13237665.0,293635.0,Conv2D1024
batch_normalization_16,12120220.0,12238351.0,118131.0,BatchNormalization8
batch_normalization_14,12707989.0,12796393.0,88404.0,BatchNormalization8
batch_normalization_13,13532874.0,13650659.0,117785.0,BatchNormalization8
batch_normalization_19,13237665.0,13355523.0,117858.0,BatchNormalization8
conv2d_17,12238351.0,12427777.0,189426.0,Conv2D1024
conv2d_15,13532874.0,13700181.0,167307.0,Conv2D1024
batch_normalization_17,12427777.0,12590136.0,162359.0,BatchNormalization8
batch_normalization_15,13700181.0,13816927.0,116746.0,BatchNormalization8
conv2d_18,12707989.0,12944030.0,236041.0,Conv2D1024
batch_normalization_18,12944030.0,13108601.0,164571.0,BatchNormalization8
conv2d_23,13816927.0,14134920.0,317993.0,Conv2D1024
conv2d_21,14441791.0,14749818.0,308027.0,Conv2D1024
conv2d_20,15471413.0,15791687.0,320274.0,Conv2D1024
conv2d_26,15152519.0,15471413.0,318894.0,Conv2D1024
batch_normalization_23,14134920.0,14252628.0,117708.0,BatchNormalization8
batch_normalization_21,14749818.0,14837996.0,88178.0,BatchNormalization8
batch_normalization_20,15791687.0,15908228.0,116541.0,BatchNormalization8
batch_normalization_26,15471413.0,15588452.0,117039.0,BatchNormalization8
conv2d_24,14252628.0,14441791.0,189163.0,Conv2D1024
conv2d_22,14985859.0,15152519.0,166660.0,Conv2D1024
batch_normalization_24,14441791.0,14604312.0,162521.0,BatchNormalization8
batch_normalization_22,15152519.0,15270114.0,117595.0,BatchNormalization8
conv2d_25,14749818.0,14985859.0,236041.0,Conv2D1024
batch_normalization_25,14985859.0,15152135.0,166276.0,BatchNormalization8
conv2d_28,15908228.0,16227498.0,319270.0,Conv2D1024
conv2d_27,16533123.0,17585217.0,1052094.0,Conv2D1024
batch_normalization_28,16227498.0,16344512.0,117014.0,BatchNormalization8
batch_normalization_27,17585217.0,17739532.0,154315.0,BatchNormalization8
conv2d_29,16344512.0,16533123.0,188611.0,Conv2D1024
batch_normalization_29,16533123.0,16698188.0,165065.0,BatchNormalization8
conv2d_30,17585217.0,17751195.0,165978.0,Conv2D1024
batch_normalization_30,17751195.0,17795797.0,44602.0,BatchNormalization8
conv2d_35,17795797.0,18057502.0,261705.0,Conv2D1024
conv2d_32,18262384.0,18524680.0,262296.0,Conv2D1024
