task,BatchNormalization8,Conv2D1024,Dense128
conv2d_1,inf,724418,inf
batch_normalization_1,941602,inf,inf
conv2d_2,inf,988562,inf
batch_normalization_2,946118,inf,inf
conv2d_3,inf,1453248,inf
batch_normalization_3,1681504,inf,inf
conv2d_4,inf,517992,inf
batch_normalization_4,563521,inf,inf
conv2d_5,inf,1068725,inf
batch_normalization_5,1269166,inf,inf
conv2d_9,inf,230513,inf
conv2d_7,inf,219310,inf
conv2d_6,inf,235162,inf
conv2d_12,inf,206981,inf
batch_normalization_9,118069,inf,inf
batch_normalization_7,86585,inf,inf
batch_normalization_6,118920,inf,inf
batch_normalization_12,66664,inf,inf
conv2d_10,inf,188975,inf
conv2d_8,inf,168209,inf
batch_normalization_10,161308,inf,inf
batch_normalization_8,118431,inf,inf
conv2d_11,inf,235226,inf
batch_normalization_11,165494,inf,inf
conv2d_16,inf,296255,inf
conv2d_14,inf,280212,inf
conv2d_13,inf,295209,inf
conv2d_19,inf,293635,inf
batch_normalization_16,118131,inf,inf
batch_normalization_14,88404,inf,inf
batch_normalization_13,117785,inf,inf
batch_normalization_19,117858,inf,inf
conv2d_17,inf,189426,inf
conv2d_15,inf,167307,inf
batch_normalization_17,162359,inf,inf
batch_normalization_15,116746,inf,inf
conv2d_18,inf,236041,inf
batch_normalization_18,164571,inf,inf
conv2d_23,inf,317993,inf
conv2d_21,inf,308027,inf
conv2d_20,inf,320274,inf
conv2d_26,inf,318894,inf
batch_normalization_23,117708,inf,inf
batch_normalization_21,88178,inf,inf
batch_normalization_20,116541,inf,inf
batch_normalization_26,117039,inf,inf
conv2d_24,inf,189163,inf
conv2d_22,inf,166660,inf
batch_normalization_24,162521,inf,inf
batch_normalization_22,117595,inf,inf
conv2d_25,inf,236041,inf
batch_normalization_25,166276,inf,inf
conv2d_28,inf,319270,inf
conv2d_27,inf,1052094,inf
batch_normalization_28,117014,inf,inf
batch_normalization_27,154315,inf,inf
conv2d_29,inf,188611,inf
batch_normalization_29,165065,inf,inf
conv2d_30,inf,165978,inf
batch_normalization_30,44602,inf,inf
conv2d_35,inf,261705,inf
conv2d_32,inf,262296,inf
conv2d_31,inf,305462,inf
conv2d_40,inf,306267,inf
batch_normalization_35,56952,inf,inf
batch_normalization_32,56738,inf,inf
batch_normalization_31,81643,inf,inf
batch_normalization_40,80265,inf,inf
conv2d_36,inf,147930,inf
conv2d_33,inf,138946,inf
batch_normalization_36,55888,inf,inf
batch_normalization_33,56658,inf,inf
conv2d_37,inf,140072,inf
conv2d_34,inf,206415,inf
batch_normalization_37,55805,inf,inf
batch_normalization_34,81754,inf,inf
conv2d_38,inf,147147,inf
batch_normalization_38,57123,inf,inf
conv2d_39,inf,193605,inf
batch_normalization_39,80709,inf,inf
conv2d_45,inf,284160,inf
conv2d_42,inf,282728,inf
conv2d_41,inf,305793,inf
conv2d_50,inf,304548,inf
batch_normalization_45,68141,inf,inf
batch_normalization_42,68866,inf,inf
batch_normalization_41,81747,inf,inf
batch_normalization_50,81228,inf,inf
conv2d_46,inf,211605,inf
conv2d_43,inf,199756,inf
batch_normalization_46,69042,inf,inf
batch_normalization_43,69270,inf,inf
conv2d_47,inf,200143,inf
conv2d_44,inf,244218,inf
batch_normalization_47,68671,inf,inf
batch_normalization_44,80739,inf,inf
conv2d_48,inf,211633,inf
batch_normalization_48,68993,inf,inf
conv2d_49,inf,231016,inf
batch_normalization_49,81731,inf,inf
conv2d_55,inf,284032,inf
conv2d_52,inf,282225,inf
conv2d_51,inf,305051,inf
conv2d_60,inf,305361,inf
batch_normalization_55,69614,inf,inf
batch_normalization_52,68377,inf,inf
batch_normalization_51,79987,inf,inf
batch_normalization_60,81810,inf,inf
conv2d_56,inf,212654,inf
conv2d_53,inf,200239,inf
batch_normalization_56,68242,inf,inf
batch_normalization_53,68391,inf,inf
conv2d_57,inf,198948,inf
conv2d_54,inf,245129,inf
batch_normalization_57,70016,inf,inf
batch_normalization_54,81878,inf,inf
conv2d_58,inf,211117,inf
batch_normalization_58,68344,inf,inf
conv2d_59,inf,231113,inf
batch_normalization_59,81154,inf,inf
conv2d_65,inf,306724,inf
conv2d_62,inf,306455,inf
conv2d_61,inf,306177,inf
conv2d_70,inf,304783,inf
batch_normalization_65,81371,inf,inf
batch_normalization_62,80624,inf,inf
batch_normalization_61,81007,inf,inf
batch_normalization_70,81734,inf,inf
conv2d_66,inf,284973,inf
conv2d_63,inf,271193,inf
batch_normalization_66,81472,inf,inf
batch_normalization_63,82041,inf,inf
conv2d_67,inf,270380,inf
conv2d_64,inf,286117,inf
batch_normalization_67,81255,inf,inf
batch_normalization_64,81134,inf,inf
conv2d_68,inf,285276,inf
batch_normalization_68,80997,inf,inf
conv2d_69,inf,271730,inf
batch_normalization_69,80843,inf,inf
conv2d_73,inf,304579,inf
conv2d_71,inf,305193,inf
batch_normalization_73,81061,inf,inf
batch_normalization_71,81354,inf,inf
conv2d_74,inf,269659,inf
conv2d_72,inf,453797,inf
batch_normalization_74,81603,inf,inf
batch_normalization_72,29034,inf,inf
conv2d_75,inf,287048,inf
batch_normalization_75,81738,inf,inf
conv2d_76,inf,289086,inf
batch_normalization_76,19037,inf,inf
conv2d_81,inf,492495,inf
conv2d_78,inf,429796,inf
conv2d_77,inf,370873,inf
conv2d_85,inf,246591,inf
batch_normalization_81,37928,inf,inf
batch_normalization_78,35092,inf,inf
batch_normalization_77,29231,inf,inf
batch_normalization_85,19716,inf,inf
conv2d_82,inf,1211234,inf
conv2d_79,inf,353236,inf
conv2d_80,inf,354533,inf
batch_normalization_82,34139,inf,inf
batch_normalization_79,35617,inf,inf
batch_normalization_80,34730,inf,inf
conv2d_83,inf,352857,inf
conv2d_84,inf,357000,inf
batch_normalization_83,33119,inf,inf
batch_normalization_84,32735,inf,inf
conv2d_90,inf,771818,inf
conv2d_87,inf,675773,inf
conv2d_86,inf,581019,inf
conv2d_94,inf,388256,inf
batch_normalization_90,41258,inf,inf
batch_normalization_87,33579,inf,inf
batch_normalization_86,30174,inf,inf
batch_normalization_94,19457,inf,inf
conv2d_91,inf,1211157,inf
conv2d_88,inf,353538,inf
conv2d_89,inf,355094,inf
batch_normalization_91,35095,inf,inf
batch_normalization_88,35334,inf,inf
batch_normalization_89,33090,inf,inf
conv2d_92,inf,353390,inf
conv2d_93,inf,354709,inf
batch_normalization_92,35761,inf,inf
batch_normalization_93,37552,inf,inf
predictions,inf,inf,1401924
