task,BatchNormalizationNS32,BatchNormalizationNS64,BatchNormalizationNS256,BatchNormalizationNS8,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS512,BatchNormalizationNS128,Conv2DNS512,Conv2DNS1024,Conv2DNS256,Conv2DNS64,Conv2DNS128,DenseNS64,DenseNS8,DenseNS32,DenseNS512,DenseNS1024,DenseNS256,DenseNS128,DenseNS16
conv2d_1,inf,inf,inf,inf,inf,inf,inf,inf,37465,18733,74929,299714,149857,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_1,22201,11101,2776,88804,694,44402,1388,5551,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_2,inf,inf,inf,inf,inf,inf,inf,inf,388962,194481,777924,3111696,1555848,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_2,21609,10805,2702,86436,676,43218,1351,5403,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_3,inf,inf,inf,inf,inf,inf,inf,inf,777924,388962,1555848,6223392,3111696,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_3,43218,21609,5403,172872,1351,86436,2702,10805,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_4,inf,inf,inf,inf,inf,inf,inf,inf,53290,26645,106580,426320,213160,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_4,13323,6662,1666,53290,417,26645,833,3331,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_5,inf,inf,inf,inf,inf,inf,inf,inf,1361070,680535,2722140,10888560,5444280,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_5,30246,15123,3781,120984,946,60492,1891,7562,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_9,inf,inf,inf,inf,inf,inf,inf,inf,29400,14700,58800,235200,117600,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_7,inf,inf,inf,inf,inf,inf,inf,inf,22050,11025,44100,176400,88200,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_6,inf,inf,inf,inf,inf,inf,inf,inf,29400,14700,58800,235200,117600,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_12,inf,inf,inf,inf,inf,inf,inf,inf,14700,7350,29400,117600,58800,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_9,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_7,1838,919,230,7350,58,3675,115,460,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_6,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_12,1225,613,154,4900,39,2450,77,307,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_10,inf,inf,inf,inf,inf,inf,inf,inf,132300,66150,264600,1058400,529200,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_8,inf,inf,inf,inf,inf,inf,inf,inf,183750,91875,367500,1470000,735000,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_10,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_8,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_11,inf,inf,inf,inf,inf,inf,inf,inf,198450,99225,396900,1587600,793800,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_11,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_16,inf,inf,inf,inf,inf,inf,inf,inf,39200,19600,78400,313600,156800,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_14,inf,inf,inf,inf,inf,inf,inf,inf,29400,14700,58800,235200,117600,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_13,inf,inf,inf,inf,inf,inf,inf,inf,39200,19600,78400,313600,156800,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_19,inf,inf,inf,inf,inf,inf,inf,inf,39200,19600,78400,313600,156800,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_16,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_14,1838,919,230,7350,58,3675,115,460,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_13,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_19,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_17,inf,inf,inf,inf,inf,inf,inf,inf,132300,66150,264600,1058400,529200,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_15,inf,inf,inf,inf,inf,inf,inf,inf,183750,91875,367500,1470000,735000,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_17,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_15,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_18,inf,inf,inf,inf,inf,inf,inf,inf,198450,99225,396900,1587600,793800,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_18,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_23,inf,inf,inf,inf,inf,inf,inf,inf,44100,22050,88200,352800,176400,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_21,inf,inf,inf,inf,inf,inf,inf,inf,33075,16538,66150,264600,132300,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_20,inf,inf,inf,inf,inf,inf,inf,inf,44100,22050,88200,352800,176400,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_26,inf,inf,inf,inf,inf,inf,inf,inf,44100,22050,88200,352800,176400,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_23,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_21,1838,919,230,7350,58,3675,115,460,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_20,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_26,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_24,inf,inf,inf,inf,inf,inf,inf,inf,132300,66150,264600,1058400,529200,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_22,inf,inf,inf,inf,inf,inf,inf,inf,183750,91875,367500,1470000,735000,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_24,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_22,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_25,inf,inf,inf,inf,inf,inf,inf,inf,198450,99225,396900,1587600,793800,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_25,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_28,inf,inf,inf,inf,inf,inf,inf,inf,44100,22050,88200,352800,176400,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_27,inf,inf,inf,inf,inf,inf,inf,inf,561816,280908,1123632,4494528,2247264,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_28,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_27,3468,1734,434,13872,109,6936,217,867,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
