task,BatchNormalizationNS32,BatchNormalizationNS64,BatchNormalizationNS256,BatchNormalizationNS8,BatchNormalizationNS1024,BatchNormalizationNS16,BatchNormalizationNS512,BatchNormalizationNS128,Conv2DNS512,Conv2DNS1024,Conv2DNS256,Conv2DNS64,Conv2DNS128,DenseNS64,DenseNS8,DenseNS32,DenseNS512,DenseNS1024,DenseNS256,DenseNS128,DenseNS16
conv2d_1, inf, inf, inf, inf, inf, inf, inf, inf, 38408, 19676, 75872, 300657, 150800, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_1,22201,11101,2776,88804,694,44402,1388,5551,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_2, inf, inf, inf, inf, inf, inf, inf, inf, 396254, 201773, 785216, 3118988, 1563140, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_2,21609,10805,2702,86436,676,43218,1351,5403,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_3, inf, inf, inf, inf, inf, inf, inf, inf, 791560, 402598, 1569484, 6237028, 3125332, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_3,43218,21609,5403,172872,1351,86436,2702,10805,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_4, inf, inf, inf, inf, inf, inf, inf, inf, 57031, 30386, 110321, 430061, 216901, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_4,13323,6662,1666,53290,417,26645,833,3331,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_5, inf, inf, inf, inf, inf, inf, inf, inf, 1460746, 780211, 2821816, 10988236, 5543956, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_5,30246,15123,3781,120984,946,60492,1891,7562,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_9, inf, inf, inf, inf, inf, inf, inf, inf, 38033, 23333, 67433, 243833, 126233, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_7, inf, inf, inf, inf, inf, inf, inf, inf, 29388, 18363, 51438, 183738, 95538, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_6, inf, inf, inf, inf, inf, inf, inf, inf, 38186, 23486, 67586, 243986, 126386, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_12, inf, inf, inf, inf, inf, inf, inf, inf, 19304, 11954, 34004, 122204, 63404, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_9,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_7,1838,919,230,7350,58,3675,115,460,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_6,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_12,1225,613,154,4900,39,2450,77,307,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_10, inf, inf, inf, inf, inf, inf, inf, inf, 172930, 106780, 305230, 1099030, 569830, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_8, inf, inf, inf, inf, inf, inf, inf, inf, 239446, 147571, 423196, 1525696, 790696, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_10,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_8,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_11, inf, inf, inf, inf, inf, inf, inf, inf, 258877, 159652, 457327, 1648027, 854227, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_11,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_16, inf, inf, inf, inf, inf, inf, inf, inf, 51836, 32236, 91036, 326236, 169436, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_14, inf, inf, inf, inf, inf, inf, inf, inf, 38766, 24066, 68166, 244566, 126966, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_13, inf, inf, inf, inf, inf, inf, inf, inf, 50692, 31092, 89892, 325092, 168292, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_19, inf, inf, inf, inf, inf, inf, inf, inf, 50956, 31356, 90156, 325356, 168556, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_16,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_14,1838,919,230,7350,58,3675,115,460,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_13,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_19,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_17, inf, inf, inf, inf, inf, inf, inf, inf, 172294, 106144, 304594, 1098394, 569194, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_15, inf, inf, inf, inf, inf, inf, inf, inf, 238998, 147123, 422748, 1525248, 790248, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_17,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_15,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_18, inf, inf, inf, inf, inf, inf, inf, inf, 257926, 158701, 456376, 1647076, 853276, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_18,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_23, inf, inf, inf, inf, inf, inf, inf, inf, 57892, 35842, 101992, 366592, 190192, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_21, inf, inf, inf, inf, inf, inf, inf, inf, 43759, 27222, 76834, 275284, 142984, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_20, inf, inf, inf, inf, inf, inf, inf, inf, 57694, 35644, 101794, 366394, 189994, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_26, inf, inf, inf, inf, inf, inf, inf, inf, 57366, 35316, 101466, 366066, 189666, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_23,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_21,1838,919,230,7350,58,3675,115,460,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_20,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_26,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_24, inf, inf, inf, inf, inf, inf, inf, inf, 171623, 105473, 303923, 1097723, 568523, inf, inf, inf, inf, inf, inf, inf, inf
conv2d_22, inf, inf, inf, inf, inf, inf, inf, inf, 238502, 146627, 422252, 1524752, 789752, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_24,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_22,2450,1225,307,9800,77,4900,154,613,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_25, inf, inf, inf, inf, inf, inf, inf, inf, 258875, 159650, 457325, 1648025, 854225, inf, inf, inf, inf, inf, inf, inf, inf
batch_normalization_25,3675,1838,460,14700,115,7350,230,919,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
conv2d_28, inf, inf, inf, inf, inf, inf, inf, inf, 56930, 34880, 101030, 365630, 189230, inf, inf, inf, inf, inf, inf, inf, inf
