task,BatchNormalization8,BatchNormalization256,BatchNormalization1024,BatchNormalization16,BatchNormalization512,BatchNormalization32,BatchNormalization128,BatchNormalization64,Conv2D1024,Conv2D64,Conv2D128,Conv2D256,Conv2D512,Dense16,Dense8,Dense256,Dense64,Dense512,Dense32,Dense128,Dense1024
batch_normalization_1,941602,943369,941844,943559,943360,943499,943388,943425,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_2,946118,947916,947967,947917,947907,947917,947917,947917,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_3,1681504,1685856,1684717,1685856,1685855,1685856,1685856,1685856,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_4,563521,564609,564846,564609,564601,564609,564609,564609,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_5,1269166,1269037,1268624,1269037,1269037,1269037,1269037,1269037,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_9,118069,118047,118281,118058,118043,118058,118056,118058,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_7,86585,88124,87105,88137,88121,88137,88131,88137,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_6,118920,118766,117847,118777,118762,118777,118775,118777,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_12,66664,65868,67769,65883,65866,65883,65872,65881,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_10,161308,161931,161837,161937,161924,161937,161937,161937,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_8,118431,118298,118659,118309,118294,118309,118307,118309,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_11,165494,166069,165574,166075,166062,166075,166075,166075,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_16,118131,117422,119043,117433,117418,117433,117431,117433,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_14,88404,89185,88215,89198,89182,89198,89192,89198,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_13,117785,118284,117588,118295,118280,118295,118293,118295,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_19,117858,118966,117269,118977,118962,118977,118975,118977,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_17,162359,164351,162478,164357,164344,164357,164357,164357,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_15,116746,116892,117618,116903,116888,116903,116901,116903,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_18,164571,163954,163869,163960,163947,163960,163960,163960,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_23,117708,117524,117558,117535,117520,117535,117533,117535,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_21,88178,87919,88930,87932,87916,87932,87926,87932,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_20,116541,116909,118906,116920,116905,116920,116918,116920,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_26,117039,117233,118499,117244,117229,117244,117242,117244,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_24,162521,164383,163968,164389,164376,164389,164389,164389,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_22,117595,118641,118085,118652,118637,118652,118650,118652,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_25,166276,165202,165114,165208,165195,165208,165208,165208,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_28,117014,117313,116864,117324,117309,117324,117322,117324,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_27,154315,154825,153539,154825,154818,154825,154825,154825,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_29,165065,166167,165058,166173,166160,166173,166173,166173,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_30,44602,44390,42832,44403,44387,44403,44396,44403,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_35,56952,56878,57485,56889,56874,56889,56886,56889,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_32,56738,56161,57344,56172,56157,56172,56169,56172,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_31,81643,80881,81707,80888,80875,80888,80888,80888,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_40,80265,81476,81333,81483,81470,81483,81483,81483,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_36,55888,55798,56282,55809,55794,55809,55806,55809,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_33,56658,56117,55245,56128,56113,56128,56125,56128,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_37,55805,56609,56649,56620,56605,56620,56617,56620,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_34,81754,81499,80607,81506,81493,81506,81506,81506,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
batch_normalization_38,57123,57250,56546,57261,57246,57261,57258,57261,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
