taskname,start,end,duration,acclname
conv2d_1,0,19676.0,19676.0,Conv2DNS1024
batch_normalization_1,561229.0,566780.0,5551.0,BatchNormalizationNS128
conv2d_2,1107064.0,1308837.0,201773.0,Conv2DNS1024
batch_normalization_2,1836974.0,1842377.0,5403.0,BatchNormalizationNS128
conv2d_3,2370264.0,2772862.0,402598.0,Conv2DNS1024
batch_normalization_3,3826169.0,3836974.0,10805.0,BatchNormalizationNS128
conv2d_4,4097152.0,4127538.0,30386.0,Conv2DNS1024
batch_normalization_4,4451719.0,4455050.0,3331.0,BatchNormalizationNS128
conv2d_5,4780493.0,5560704.0,780211.0,Conv2DNS1024
batch_normalization_5,6298213.0,6305775.0,7562.0,BatchNormalizationNS128
conv2d_9,6485539.0,6508872.0,23333.0,Conv2DNS1024
conv2d_7,6735036.0,6753399.0,18363.0,Conv2DNS1024
conv2d_6,6844518.0,6868004.0,23486.0,Conv2DNS1024
conv2d_12,7222721.0,7234675.0,11954.0,Conv2DNS1024
batch_normalization_9,6568577.0,6569190.0,613.0,BatchNormalizationNS128
batch_normalization_7,6798086.0,6798546.0,460.0,BatchNormalizationNS128
batch_normalization_6,6927261.0,6927874.0,613.0,BatchNormalizationNS128
batch_normalization_12,7264468.0,7264775.0,307.0,BatchNormalizationNS128
conv2d_10,6628256.0,6735036.0,106780.0,Conv2DNS1024
conv2d_8,7075150.0,7222721.0,147571.0,Conv2DNS1024
batch_normalization_10,6824736.0,6825655.0,919.0,BatchNormalizationNS128
batch_normalization_8,7282096.0,7282709.0,613.0,BatchNormalizationNS128
conv2d_11,6915498.0,7075150.0,159652.0,Conv2DNS1024
batch_normalization_11,7164551.0,7165470.0,919.0,BatchNormalizationNS128
conv2d_16,7342675.0,7374911.0,32236.0,Conv2DNS1024
conv2d_14,7406029.0,7430095.0,24066.0,Conv2DNS1024
conv2d_13,7645153.0,7676245.0,31092.0,Conv2DNS1024
conv2d_19,8084964.0,8116320.0,31356.0,Conv2DNS1024
batch_normalization_16,7433838.0,7434451.0,613.0,BatchNormalizationNS128
batch_normalization_14,7474856.0,7475316.0,460.0,BatchNormalizationNS128
batch_normalization_13,7735820.0,7736433.0,613.0,BatchNormalizationNS128
batch_normalization_19,8175309.0,8175922.0,613.0,BatchNormalizationNS128
conv2d_17,7494076.0,7600220.0,106144.0,Conv2DNS1024
conv2d_15,7937841.0,8084964.0,147123.0,Conv2DNS1024
batch_normalization_17,7688839.0,7689758.0,919.0,BatchNormalizationNS128
batch_normalization_15,8143491.0,8144104.0,613.0,BatchNormalizationNS128
conv2d_18,7779140.0,7937841.0,158701.0,Conv2DNS1024
batch_normalization_18,8027456.0,8028375.0,919.0,BatchNormalizationNS128
conv2d_23,8234807.0,8270649.0,35842.0,Conv2DNS1024
conv2d_21,8273522.0,8300744.0,27222.0,Conv2DNS1024
conv2d_20,8542100.0,8577744.0,35644.0,Conv2DNS1024
conv2d_26,8981643.0,9016959.0,35316.0,Conv2DNS1024
batch_normalization_23,8330144.0,8330757.0,613.0,BatchNormalizationNS128
batch_normalization_21,8345354.0,8345814.0,460.0,BatchNormalizationNS128
batch_normalization_20,8636555.0,8637168.0,613.0,BatchNormalizationNS128
batch_normalization_26,9075816.0,9076429.0,613.0,BatchNormalizationNS128
conv2d_24,8390068.0,8495541.0,105473.0,Conv2DNS1024
conv2d_22,8835016.0,8981643.0,146627.0,Conv2DNS1024
batch_normalization_24,8584936.0,8585855.0,919.0,BatchNormalizationNS128
batch_normalization_22,9041162.0,9041775.0,613.0,BatchNormalizationNS128
conv2d_25,8675366.0,8835016.0,159650.0,Conv2DNS1024
batch_normalization_25,8924664.0,8925583.0,919.0,BatchNormalizationNS128
conv2d_28,9135570.0,9170450.0,34880.0,Conv2DNS1024
conv2d_27,9397315.0,10398470.0,1001155.0,Conv2DNS1024
batch_normalization_28,9230033.0,9230646.0,613.0,BatchNormalizationNS128
batch_normalization_27,10482684.0,10483551.0,867.0,BatchNormalizationNS128
conv2d_29,9291159.0,9397315.0,106156.0,Conv2DNS1024
batch_normalization_29,9487104.0,9488023.0,919.0,BatchNormalizationNS128
conv2d_30,10398470.0,10481602.0,83132.0,Conv2DNS1024
batch_normalization_30,10501603.0,10501820.0,217.0,BatchNormalizationNS128
conv2d_35,10650963.0,10749907.0,98944.0,Conv2DNS1024
conv2d_32,10923102.0,11022246.0,99144.0,Conv2DNS1024
conv2d_31,11423690.0,11572388.0,148698.0,Conv2DNS1024
conv2d_40,11919032.0,12068182.0,149150.0,Conv2DNS1024
batch_normalization_35,10778448.0,10778737.0,289.0,BatchNormalizationNS128
batch_normalization_32,11050798.0,11051087.0,289.0,BatchNormalizationNS128
batch_normalization_31,11613897.0,11614331.0,434.0,BatchNormalizationNS128
batch_normalization_40,12110135.0,12110569.0,434.0,BatchNormalizationNS128
conv2d_36,10807076.0,10923102.0,116026.0,Conv2DNS1024
conv2d_33,11308208.0,11423690.0,115482.0,Conv2DNS1024
batch_normalization_36,10951147.0,10951436.0,289.0,BatchNormalizationNS128
batch_normalization_33,11451790.0,11452079.0,289.0,BatchNormalizationNS128
conv2d_37,11022246.0,11137068.0,114822.0,Conv2DNS1024
conv2d_34,11746553.0,11919032.0,172479.0,Conv2DNS1024
batch_normalization_37,11165501.0,11165790.0,289.0,BatchNormalizationNS128
batch_normalization_34,11961383.0,11961817.0,434.0,BatchNormalizationNS128
conv2d_38,11193932.0,11308208.0,114276.0,Conv2DNS1024
batch_normalization_38,11335525.0,11335814.0,289.0,BatchNormalizationNS128
conv2d_39,11572388.0,11746553.0,174165.0,Conv2DNS1024
batch_normalization_39,11789090.0,11789524.0,434.0,BatchNormalizationNS128
conv2d_45,12152694.0,12277165.0,124471.0,Conv2DNS1024
conv2d_42,12776248.0,12900006.0,123758.0,Conv2DNS1024
conv2d_41,13259049.0,13408457.0,149408.0,Conv2DNS1024
conv2d_50,13839528.0,13987624.0,148096.0,Conv2DNS1024
batch_normalization_45,12312011.0,12312373.0,362.0,BatchNormalizationNS128
batch_normalization_42,12935665.0,12936027.0,362.0,BatchNormalizationNS128
batch_normalization_41,13450442.0,13450876.0,434.0,BatchNormalizationNS128
batch_normalization_50,14029307.0,14029741.0,434.0,BatchNormalizationNS128
conv2d_46,12347488.0,12526494.0,179006.0,Conv2DNS1024
conv2d_43,13079857.0,13259049.0,179192.0,Conv2DNS1024
batch_normalization_46,12561737.0,12562099.0,362.0,BatchNormalizationNS128
batch_normalization_43,13294088.0,13294450.0,362.0,BatchNormalizationNS128
conv2d_47,12597266.0,12776248.0,178982.0,Conv2DNS1024
conv2d_44,13624186.0,13839528.0,215342.0,Conv2DNS1024
batch_normalization_47,12811247.0,12811609.0,362.0,BatchNormalizationNS128
batch_normalization_44,13881813.0,13882247.0,434.0,BatchNormalizationNS128
conv2d_48,12900006.0,13079857.0,179851.0,Conv2DNS1024
batch_normalization_48,13114645.0,13115007.0,362.0,BatchNormalizationNS128
conv2d_49,13408457.0,13624186.0,215729.0,Conv2DNS1024
batch_normalization_49,13666851.0,13667285.0,434.0,BatchNormalizationNS128
conv2d_55,14071548.0,14196271.0,124723.0,Conv2DNS1024
conv2d_52,14697411.0,14821197.0,123786.0,Conv2DNS1024
conv2d_51,15179994.0,15328752.0,148758.0,Conv2DNS1024
conv2d_60,15328752.0,15476670.0,147918.0,Conv2DNS1024
batch_normalization_55,14231524.0,14231886.0,362.0,BatchNormalizationNS128
batch_normalization_52,14855991.0,14856353.0,362.0,BatchNormalizationNS128
batch_normalization_51,15371137.0,15371571.0,434.0,BatchNormalizationNS128
batch_normalization_60,15518203.0,15518637.0,434.0,BatchNormalizationNS128
conv2d_56,14266825.0,14446609.0,179784.0,Conv2DNS1024
conv2d_53,15001053.0,15179994.0,178941.0,Conv2DNS1024
batch_normalization_56,14481330.0,14481692.0,362.0,BatchNormalizationNS128
batch_normalization_53,15214749.0,15215111.0,362.0,BatchNormalizationNS128
conv2d_57,14517322.0,14697411.0,180089.0,Conv2DNS1024
conv2d_54,15692530.0,15908482.0,215952.0,Conv2DNS1024
batch_normalization_57,14732308.0,14732670.0,362.0,BatchNormalizationNS128
batch_normalization_54,15950825.0,15951259.0,434.0,BatchNormalizationNS128
conv2d_58,14821197.0,15001053.0,179856.0,Conv2DNS1024
batch_normalization_58,15035954.0,15036316.0,362.0,BatchNormalizationNS128
conv2d_59,15476670.0,15692530.0,215860.0,Conv2DNS1024
batch_normalization_59,15733837.0,15734271.0,434.0,BatchNormalizationNS128
conv2d_65,15993101.0,16139646.0,146545.0,Conv2DNS1024
conv2d_62,16827872.0,16975612.0,147740.0,Conv2DNS1024
