taskname,start,end,duration,acclname
conv2d_1,0,724418.0,724418.0,Conv2D1024
batch_normalization_1,724418.0,1667806.0,943388.0,BatchNormalization128
conv2d_2,1667806.0,2656368.0,988562.0,Conv2D1024
batch_normalization_2,2656368.0,3604285.0,947917.0,BatchNormalization128
conv2d_3,3604285.0,5057533.0,1453248.0,Conv2D1024
batch_normalization_3,5057533.0,6743389.0,1685856.0,BatchNormalization128
conv2d_4,6743389.0,7261381.0,517992.0,Conv2D1024
batch_normalization_4,7261381.0,7825990.0,564609.0,BatchNormalization128
conv2d_5,7825990.0,8894715.0,1068725.0,Conv2D1024
batch_normalization_5,8894715.0,10163752.0,1269037.0,BatchNormalization128
conv2d_9,10163752.0,10394265.0,230513.0,Conv2D1024
conv2d_7,10701296.0,10920606.0,219310.0,Conv2D1024
conv2d_6,11155832.0,11390994.0,235162.0,Conv2D1024
conv2d_12,11559203.0,11766184.0,206981.0,Conv2D1024
batch_normalization_9,10394265.0,10512321.0,118056.0,BatchNormalization128
batch_normalization_7,10920606.0,11008737.0,88131.0,BatchNormalization128
batch_normalization_6,11390994.0,11509769.0,118775.0,BatchNormalization128
batch_normalization_12,11766184.0,11832056.0,65872.0,BatchNormalization128
conv2d_10,10512321.0,10701296.0,188975.0,Conv2D1024
conv2d_8,11390994.0,11559203.0,168209.0,Conv2D1024
batch_normalization_10,10701296.0,10863233.0,161937.0,BatchNormalization128
batch_normalization_8,11559203.0,11677510.0,118307.0,BatchNormalization128
conv2d_11,10920606.0,11155832.0,235226.0,Conv2D1024
batch_normalization_11,11155832.0,11321907.0,166075.0,BatchNormalization128
conv2d_16,11832056.0,12128311.0,296255.0,Conv2D1024
conv2d_14,12435168.0,12715380.0,280212.0,Conv2D1024
conv2d_13,13245056.0,13540265.0,295209.0,Conv2D1024
conv2d_19,12951421.0,13245056.0,293635.0,Conv2D1024
batch_normalization_16,12128311.0,12245742.0,117431.0,BatchNormalization128
batch_normalization_14,12715380.0,12804572.0,89192.0,BatchNormalization128
batch_normalization_13,13540265.0,13658558.0,118293.0,BatchNormalization128
batch_normalization_19,13245056.0,13364031.0,118975.0,BatchNormalization128
conv2d_17,12245742.0,12435168.0,189426.0,Conv2D1024
conv2d_15,13540265.0,13707572.0,167307.0,Conv2D1024
batch_normalization_17,12435168.0,12599525.0,164357.0,BatchNormalization128
batch_normalization_15,13707572.0,13824473.0,116901.0,BatchNormalization128
conv2d_18,12715380.0,12951421.0,236041.0,Conv2D1024
