task,BatchNormalization128,Conv2D1024,Dense128
conv2d_1,inf,724418,inf
batch_normalization_1,943388,inf,inf
conv2d_2,inf,988562,inf
batch_normalization_2,947917,inf,inf
conv2d_3,inf,1453248,inf
batch_normalization_3,1685856,inf,inf
conv2d_4,inf,517992,inf
batch_normalization_4,564609,inf,inf
conv2d_5,inf,1068725,inf
batch_normalization_5,1269037,inf,inf
conv2d_9,inf,230513,inf
conv2d_7,inf,219310,inf
conv2d_6,inf,235162,inf
conv2d_12,inf,206981,inf
batch_normalization_9,118056,inf,inf
batch_normalization_7,88131,inf,inf
batch_normalization_6,118775,inf,inf
batch_normalization_12,65872,inf,inf
conv2d_10,inf,188975,inf
conv2d_8,inf,168209,inf
batch_normalization_10,161937,inf,inf
batch_normalization_8,118307,inf,inf
conv2d_11,inf,235226,inf
batch_normalization_11,166075,inf,inf
conv2d_16,inf,296255,inf
conv2d_14,inf,280212,inf
conv2d_13,inf,295209,inf
conv2d_19,inf,293635,inf
batch_normalization_16,117431,inf,inf
batch_normalization_14,89192,inf,inf
batch_normalization_13,118293,inf,inf
batch_normalization_19,118975,inf,inf
conv2d_17,inf,189426,inf
conv2d_15,inf,167307,inf
batch_normalization_17,164357,inf,inf
batch_normalization_15,116901,inf,inf
conv2d_18,inf,236041,inf
batch_normalization_18,163960,inf,inf
conv2d_23,inf,317993,inf
conv2d_21,inf,308027,inf
conv2d_20,inf,320274,inf
conv2d_26,inf,318894,inf
batch_normalization_23,117533,inf,inf
batch_normalization_21,87926,inf,inf
batch_normalization_20,116918,inf,inf
batch_normalization_26,117242,inf,inf
conv2d_24,inf,189163,inf
conv2d_22,inf,166660,inf
batch_normalization_24,164389,inf,inf
batch_normalization_22,118650,inf,inf
conv2d_25,inf,236041,inf
batch_normalization_25,165208,inf,inf
conv2d_28,inf,319270,inf
conv2d_27,inf,1052094,inf
batch_normalization_28,117322,inf,inf
batch_normalization_27,154825,inf,inf
conv2d_29,inf,188611,inf
batch_normalization_29,166173,inf,inf
conv2d_30,inf,165978,inf
batch_normalization_30,44396,inf,inf
conv2d_35,inf,261705,inf
conv2d_32,inf,262296,inf
conv2d_31,inf,305462,inf
conv2d_40,inf,306267,inf
batch_normalization_35,56886,inf,inf
batch_normalization_32,56169,inf,inf
batch_normalization_31,80888,inf,inf
batch_normalization_40,81483,inf,inf
conv2d_36,inf,147930,inf
conv2d_33,inf,138946,inf
batch_normalization_36,55806,inf,inf
batch_normalization_33,56125,inf,inf
conv2d_37,inf,140072,inf
conv2d_34,inf,206415,inf
batch_normalization_37,56617,inf,inf
batch_normalization_34,81506,inf,inf
conv2d_38,inf,147147,inf
batch_normalization_38,57258,inf,inf
conv2d_39,inf,193605,inf
batch_normalization_39,81201,inf,inf
conv2d_45,inf,284160,inf
conv2d_42,inf,282728,inf
conv2d_41,inf,305793,inf
conv2d_50,inf,304548,inf
batch_normalization_45,69327,inf,inf
batch_normalization_42,68111,inf,inf
batch_normalization_41,81730,inf,inf
batch_normalization_50,80690,inf,inf
conv2d_46,inf,211605,inf
conv2d_43,inf,199756,inf
batch_normalization_46,68858,inf,inf
batch_normalization_43,69824,inf,inf
conv2d_47,inf,200143,inf
conv2d_44,inf,244218,inf
batch_normalization_47,68740,inf,inf
batch_normalization_44,81487,inf,inf
conv2d_48,inf,211633,inf
batch_normalization_48,68565,inf,inf
conv2d_49,inf,231016,inf
batch_normalization_49,81352,inf,inf
conv2d_55,inf,284032,inf
conv2d_52,inf,282225,inf
conv2d_51,inf,305051,inf
conv2d_60,inf,305361,inf
batch_normalization_55,68697,inf,inf
batch_normalization_52,68597,inf,inf
batch_normalization_51,80626,inf,inf
batch_normalization_60,80771,inf,inf
conv2d_56,inf,212654,inf
conv2d_53,inf,200239,inf
batch_normalization_56,68535,inf,inf
batch_normalization_53,69145,inf,inf
conv2d_57,inf,198948,inf
conv2d_54,inf,245129,inf
batch_normalization_57,69914,inf,inf
batch_normalization_54,80891,inf,inf
conv2d_58,inf,211117,inf
batch_normalization_58,69021,inf,inf
conv2d_59,inf,231113,inf
batch_normalization_59,81780,inf,inf
conv2d_65,inf,306724,inf
conv2d_62,inf,306455,inf
conv2d_61,inf,306177,inf
conv2d_70,inf,304783,inf
batch_normalization_65,81957,inf,inf
batch_normalization_62,80663,inf,inf
batch_normalization_61,80920,inf,inf
batch_normalization_70,81688,inf,inf
conv2d_66,inf,284973,inf
conv2d_63,inf,271193,inf
batch_normalization_66,79956,inf,inf
batch_normalization_63,82745,inf,inf
conv2d_67,inf,270380,inf
conv2d_64,inf,286117,inf
batch_normalization_67,80874,inf,inf
batch_normalization_64,81697,inf,inf
conv2d_68,inf,285276,inf
batch_normalization_68,80913,inf,inf
conv2d_69,inf,271730,inf
batch_normalization_69,81623,inf,inf
conv2d_73,inf,304579,inf
conv2d_71,inf,305193,inf
batch_normalization_73,81927,inf,inf
batch_normalization_71,81094,inf,inf
conv2d_74,inf,269659,inf
conv2d_72,inf,453797,inf
batch_normalization_74,82044,inf,inf
batch_normalization_72,29354,inf,inf
conv2d_75,inf,287048,inf
batch_normalization_75,80589,inf,inf
conv2d_76,inf,289086,inf
batch_normalization_76,18632,inf,inf
conv2d_81,inf,492495,inf
conv2d_78,inf,429796,inf
conv2d_77,inf,370873,inf
conv2d_85,inf,246591,inf
batch_normalization_81,37116,inf,inf
batch_normalization_78,34517,inf,inf
batch_normalization_77,29129,inf,inf
batch_normalization_85,20400,inf,inf
conv2d_82,inf,1211234,inf
conv2d_79,inf,353236,inf
conv2d_80,inf,354533,inf
batch_normalization_82,33477,inf,inf
batch_normalization_79,35139,inf,inf
batch_normalization_80,33195,inf,inf
conv2d_83,inf,352857,inf
conv2d_84,inf,357000,inf
batch_normalization_83,33493,inf,inf
batch_normalization_84,32826,inf,inf
conv2d_90,inf,771818,inf
